date,platform,total_comments,insecurity_count,insecurity_ratio,negative_count,negative_ratio,失业担忧_count,替代焦虑_count,技能过时_count,职业焦虑_count,未来担忧_count,avg_likes,unique_users
2025-07-02,bili,16,0,0.0,0,0.0,0,0,0,0,0,3.25,16.0
2025-07-03,bili,22,0,0.0,0,0.0,0,0,0,0,0,1.2272727272727273,19.0
2025-07-04,bili,63,0,0.0,0,0.0,0,0,0,0,0,29.015873015873016,62.0
2025-07-05,bili,80,0,0.0,1,0.0125,0,0,0,0,0,10.025,71.0
2025-07-06,bili,105,0,0.0,0,0.0,0,0,0,0,0,63.8,91.0
2025-07-07,bili,58,0,0.0,0,0.0,0,0,0,0,0,135.79310344827587,49.0
2025-07-08,bili,54,0,0.0,1,0.018518518518518517,0,0,0,0,0,17.51851851851852,44.0
2025-07-09,bili,37,0,0.0,1,0.02702702702702703,0,0,0,0,0,5.918918918918919,34.0
2025-07-10,bili,24,0,0.0,0,0.0,0,0,0,0,0,2.625,23.0
2025-07-11,bili,27,0,0.0,0,0.0,0,0,0,0,0,68.81481481481481,25.0
2025-07-12,bili,67,0,0.0,4,0.05970149253731343,0,0,0,0,0,120.56716417910448,61.0
2025-07-13,bili,73,2,0.0273972602739726,2,0.0273972602739726,0,0,1,1,0,60.15068493150685,63.0
2025-07-14,bili,45,0,0.0,2,0.044444444444444446,0,0,0,0,0,61.977777777777774,41.0
2025-07-15,bili,43,0,0.0,4,0.09302325581395349,0,0,0,0,0,27.86046511627907,41.0
2025-07-16,bili,36,0,0.0,0,0.0,0,0,0,0,0,39.69444444444444,33.0
2025-07-17,bili,52,0,0.0,0,0.0,0,0,0,0,0,16.21153846153846,40.0
2025-07-18,bili,35,0,0.0,0,0.0,0,0,0,0,0,2.3714285714285714,25.0
2025-07-19,bili,22,0,0.0,0,0.0,0,0,0,0,0,5.545454545454546,21.0
2025-07-20,bili,33,0,0.0,0,0.0,0,0,0,0,0,3.3333333333333335,29.0
2025-07-21,bili,23,0,0.0,0,0.0,0,0,0,0,0,4.130434782608695,22.0
2025-07-22,bili,32,0,0.0,0,0.0,0,0,0,0,0,2.6875,27.0
2025-07-23,bili,13,0,0.0,0,0.0,0,0,0,0,0,4.923076923076923,11.0
2025-07-24,bili,11,0,0.0,1,0.09090909090909091,0,0,0,0,0,4.818181818181818,11.0
2025-07-25,bili,22,0,0.0,0,0.0,0,0,0,0,0,2.590909090909091,9.0
2025-07-26,bili,5,0,0.0,0,0.0,0,0,0,0,0,1.2,5.0
2025-07-27,bili,6,0,0.0,1,0.16666666666666666,0,0,0,0,0,13.833333333333334,6.0
2025-07-28,bili,5,0,0.0,0,0.0,0,0,0,0,0,10.4,5.0
2025-07-29,bili,15,0,0.0,0,0.0,0,0,0,0,0,6.533333333333333,13.0
2025-07-30,bili,16,0,0.0,0,0.0,0,0,0,0,0,10.875,13.0
2025-07-31,bili,10,0,0.0,0,0.0,0,0,0,0,0,14.2,9.0
2025-08-01,bili,6,0,0.0,0,0.0,0,0,0,0,0,2.1666666666666665,4.0
2025-08-02,bili,12,0,0.0,0,0.0,0,0,0,0,0,17.25,12.0
2025-08-03,bili,12,0,0.0,0,0.0,0,0,0,0,0,2.8333333333333335,11.0
2025-08-04,bili,11,0,0.0,0,0.0,0,0,0,0,0,4.0,11.0
2025-08-05,bili,7,0,0.0,0,0.0,0,0,0,0,0,1.7142857142857142,7.0
2025-08-06,bili,3,0,0.0,0,0.0,0,0,0,0,0,7.666666666666667,3.0
